Accession #,Site,Type,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6,Match_Confidence,Notes
63873,Montefrío,AXE,Montefrío/Raw/63873 (1).JPG,Montefrío/Raw/63873 (2).JPG,Montefrío/Raw/63873 (3).JPG,,,,High,
63968,Montefrío,AXE,Montefrío/Raw/63968 (1).JPG,Montefrío/Raw/63968 (2).JPG,Montefrío/Raw/63968 (3).JPG,,,,High,
64190-1,Montefrío,AXE,Montefrío/Raw/64190-1 (1).JPG,Montefrío/Raw/64190-1 (2).JPG,Montefrío/Raw/64190-1 (3).JPG,,,,High,
64549,Montefrío,AXE,Montefrío/Raw/64549 (1).JPG,Montefrío/Raw/64549 (2).JPG,Montefrío/Raw/64549 (3).JPG,,,,High,
64574,Montefrío,AXE,Montefrío/Raw/64574 (1).JPG,Montefrío/Raw/64574 (2).JPG,Montefrío/Raw/64574 (3).JPG,,,,High,
64695,Montefrío,AXE,Montefrío/Raw/64695 (1).JPG,Montefrío/Raw/64695 (2).JPG,Montefrío/Raw/64695 (3).JPG,,,,High,
64711,Montefrío,AXE,Montefrío/Raw/64711 (1).JPG,Montefrío/Raw/64711 (2).JPG,Montefrío/Raw/64711 (3).JPG,,,,High,
64726,Montefrío,AXE,Montefrío/Raw/64726 (1).JPG,Montefrío/Raw/64726 (2).JPG,,,,,High,
65340,Montefrío,AXE,Montefrío/Raw/65340 (1).JPG,Montefrío/Raw/65340 (2).JPG,Montefrío/Raw/65340 (3).JPG,,,,High,
65549,Montefrío,AXE,Montefrío/Raw/65549 (1).JPG,Montefrío/Raw/65549 (2).JPG,Montefrío/Raw/65549 (3).JPG,,,,High,
65740,Montefrío,AXE,Montefrío/Raw/65740 (1).JPG,Montefrío/Raw/65740 (2).JPG,Montefrío/Raw/65740 (3).JPG,,,,High,
65822,Montefrío,AXE,Montefrío/Raw/65822 (1).JPG,Montefrío/Raw/65822 (2).JPG,,,,,High,
65840,Montefrío,AXE,Montefrío/Raw/65840 (3).JPG,Montefrío/Raw/65840 (4).JPG,,,,,High,
66271,Montefrío,AXE,Montefrío/Raw/66271 (1).JPG,Montefrío/Raw/66271 (2).JPG,Montefrío/Raw/66271 (3).JPG,Montefrío/Raw/66271 (4).JPG,,,High,
